action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,iaction,group_id,ranking
change_to_right,False,False,False,False,False,False,False,keep,1,1
change_to_right,False,False,False,False,False,False,False,swerve_left,1,1
change_to_right,False,False,False,False,False,False,False,swerve_right,1,1
change_to_right,False,False,False,False,False,False,False,change_to_left,1,2
change_to_right,False,False,False,False,False,False,False,cruise,1,2
change_to_right,False,False,False,False,False,False,False,change_to_right,1,3
cruise,False,False,False,False,False,False,False,keep,2,1
cruise,False,False,False,False,False,False,False,swerve_left,2,1
cruise,False,False,False,False,False,False,False,swerve_right,2,1
cruise,False,False,False,False,False,False,False,change_to_left,2,2
cruise,False,False,False,False,False,False,False,change_to_right,2,2
cruise,False,False,False,False,False,False,False,cruise,2,3
change_to_left,False,False,False,False,False,False,False,keep,3,1
change_to_left,False,False,False,False,False,False,False,swerve_left,3,1
change_to_left,False,False,False,False,False,False,False,swerve_right,3,1
change_to_left,False,False,False,False,False,False,False,change_to_right,3,2
change_to_left,False,False,False,False,False,False,False,cruise,3,2
change_to_left,False,False,False,False,False,False,False,change_to_left,3,3
change_to_right,False,False,False,False,False,False,True,keep,4,1
change_to_right,False,False,False,False,False,False,True,swerve_left,4,1
change_to_right,False,False,False,False,False,False,True,swerve_right,4,2
change_to_right,False,False,False,False,False,False,True,change_to_left,4,3
change_to_right,False,False,False,False,False,False,True,cruise,4,3
change_to_right,False,False,False,False,False,False,True,change_to_right,4,4
cruise,False,False,False,False,False,False,True,keep,5,1
cruise,False,False,False,False,False,False,True,swerve_left,5,1
cruise,False,False,False,False,False,False,True,swerve_right,5,2
cruise,False,False,False,False,False,False,True,change_to_left,5,3
cruise,False,False,False,False,False,False,True,change_to_right,5,3
cruise,False,False,False,False,False,False,True,cruise,5,4
change_to_left,False,False,False,False,False,False,True,keep,6,1
change_to_left,False,False,False,False,False,False,True,swerve_left,6,1
change_to_left,False,False,False,False,False,False,True,swerve_right,6,2
change_to_left,False,False,False,False,False,False,True,change_to_right,6,3
change_to_left,False,False,False,False,False,False,True,cruise,6,3
change_to_left,False,False,False,False,False,False,True,change_to_left,6,4
change_to_right,False,False,False,False,False,True,False,keep,7,1
change_to_right,False,False,False,False,False,True,False,swerve_left,7,1
change_to_right,False,False,False,False,False,True,False,swerve_right,7,1
change_to_right,False,False,False,False,False,True,False,change_to_left,7,2
change_to_right,False,False,False,False,False,True,False,cruise,7,2
change_to_right,False,False,False,False,False,True,False,change_to_right,7,3
cruise,False,False,False,False,False,True,False,keep,8,1
cruise,False,False,False,False,False,True,False,swerve_left,8,1
cruise,False,False,False,False,False,True,False,swerve_right,8,1
cruise,False,False,False,False,False,True,False,change_to_left,8,2
cruise,False,False,False,False,False,True,False,change_to_right,8,2
cruise,False,False,False,False,False,True,False,cruise,8,3
change_to_left,False,False,False,False,False,True,False,keep,9,1
change_to_left,False,False,False,False,False,True,False,swerve_left,9,1
change_to_left,False,False,False,False,False,True,False,swerve_right,9,1
change_to_left,False,False,False,False,False,True,False,change_to_right,9,2
change_to_left,False,False,False,False,False,True,False,cruise,9,2
change_to_left,False,False,False,False,False,True,False,change_to_left,9,3
change_to_right,False,False,False,False,False,True,True,keep,10,1
change_to_right,False,False,False,False,False,True,True,swerve_left,10,1
change_to_right,False,False,False,False,False,True,True,swerve_right,10,2
change_to_right,False,False,False,False,False,True,True,change_to_left,10,3
change_to_right,False,False,False,False,False,True,True,cruise,10,3
change_to_right,False,False,False,False,False,True,True,change_to_right,10,4
cruise,False,False,False,False,False,True,True,keep,11,1
cruise,False,False,False,False,False,True,True,swerve_left,11,1
cruise,False,False,False,False,False,True,True,swerve_right,11,2
cruise,False,False,False,False,False,True,True,change_to_left,11,3
cruise,False,False,False,False,False,True,True,change_to_right,11,3
cruise,False,False,False,False,False,True,True,cruise,11,4
change_to_left,False,False,False,False,False,True,True,keep,12,1
change_to_left,False,False,False,False,False,True,True,swerve_left,12,1
change_to_left,False,False,False,False,False,True,True,swerve_right,12,2
change_to_left,False,False,False,False,False,True,True,change_to_right,12,3
change_to_left,False,False,False,False,False,True,True,cruise,12,3
change_to_left,False,False,False,False,False,True,True,change_to_left,12,4
change_to_right,False,False,False,False,True,False,False,keep,13,1
change_to_right,False,False,False,False,True,False,False,swerve_left,13,1
change_to_right,False,False,False,False,True,False,False,swerve_right,13,1
change_to_right,False,False,False,False,True,False,False,change_to_left,13,2
change_to_right,False,False,False,False,True,False,False,cruise,13,2
change_to_right,False,False,False,False,True,False,False,change_to_right,13,3
cruise,False,False,False,False,True,False,False,keep,14,1
cruise,False,False,False,False,True,False,False,swerve_left,14,1
