action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id,ranking,frequency,potential_crash_before_intervention,potential_crash_after_intervention,best_intervention
change_to_right,False,False,False,False,False,False,False,True,True,keep,0.5,2.57107305526733,1,1,2500,True,False,
change_to_right,False,False,False,False,False,False,False,True,True,swerve_left,0.5,2.58716177940369,1,1,2500,True,False,
change_to_right,False,False,False,False,False,False,False,True,True,swerve_right,0.5,2.59168386459351,1,1,2500,True,False,*
change_to_right,False,False,False,False,False,False,False,True,True,change_to_left,0.999001,2.58699870109558,1,2,NA,True,True,
change_to_right,False,False,False,False,False,False,False,True,True,cruise,0.999001,2.58458495140076,1,2,NA,True,True,
change_to_right,False,False,False,False,False,False,False,True,True,change_to_right,1,2.59826278686523,1,3,NA,True,True,
cruise,False,False,False,False,False,False,False,True,True,keep,0.5,2.58243560791016,2,1,2500,True,False,
cruise,False,False,False,False,False,False,False,True,True,swerve_left,0.5,2.58756375312805,2,1,2500,True,False,
cruise,False,False,False,False,False,False,False,True,True,swerve_right,0.5,2.59733128547669,2,1,2500,True,False,*
cruise,False,False,False,False,False,False,False,True,True,change_to_left,0.999001,2.58782315254211,2,2,NA,True,True,
cruise,False,False,False,False,False,False,False,True,True,change_to_right,0.999001,2.58333373069763,2,2,NA,True,True,
cruise,False,False,False,False,False,False,False,True,True,cruise,1,2.59739398956299,2,3,NA,True,True,
change_to_left,False,False,False,False,False,False,False,True,True,keep,0.5,2.57019925117493,3,1,2500,True,False,*
change_to_left,False,False,False,False,False,False,False,True,True,swerve_left,0.5,2.57933783531189,3,1,2500,True,False,
change_to_left,False,False,False,False,False,False,False,True,True,swerve_right,0.5,2.5948920249939,3,1,2500,True,False,
change_to_left,False,False,False,False,False,False,False,True,True,change_to_right,0.999001,2.60082030296326,3,2,NA,True,True,
change_to_left,False,False,False,False,False,False,False,True,True,cruise,0.999001,2.5854926109314,3,2,NA,True,True,
change_to_left,False,False,False,False,False,False,False,True,True,change_to_left,1,2.59793877601624,3,3,NA,True,True,
change_to_right,False,False,False,False,False,False,True,True,True,keep,0.000999,2.58283090591431,4,1,2500,True,False,
change_to_right,False,False,False,False,False,False,True,True,True,swerve_left,0.000999,2.5890064239502,4,1,2500,True,False,*
change_to_right,False,False,False,False,False,False,True,True,True,swerve_right,0.5,2.61457872390747,4,2,NA,True,False,
change_to_right,False,False,False,False,False,False,True,True,True,change_to_left,0.999001,2.58924770355225,4,3,NA,True,True,
change_to_right,False,False,False,False,False,False,True,True,True,cruise,0.999001,2.59354686737061,4,3,NA,True,True,
change_to_right,False,False,False,False,False,False,True,True,True,change_to_right,1,2.58543014526367,4,4,NA,True,True,
cruise,False,False,False,False,False,False,True,True,True,keep,0.000999,2.581627368927,5,1,2502,True,False,
cruise,False,False,False,False,False,False,True,True,True,swerve_left,0.000999,2.58931827545166,5,1,2502,True,False,*
cruise,False,False,False,False,False,False,True,True,True,swerve_right,0.5,2.59949517250061,5,2,NA,True,False,
cruise,False,False,False,False,False,False,True,True,True,change_to_left,0.999001,2.55897402763367,5,3,NA,True,True,
cruise,False,False,False,False,False,False,True,True,True,change_to_right,0.999001,2.57344818115234,5,3,NA,True,True,
cruise,False,False,False,False,False,False,True,True,True,cruise,1,2.57264804840088,5,4,NA,True,True,
change_to_left,False,False,False,False,False,False,True,True,True,keep,0.000999,2.57745051383972,6,1,2500,True,False,
change_to_left,False,False,False,False,False,False,True,True,True,swerve_left,0.000999,2.58171439170837,6,1,2500,True,False,*
change_to_left,False,False,False,False,False,False,True,True,True,swerve_right,0.5,2.59106516838074,6,2,NA,True,False,
change_to_left,False,False,False,False,False,False,True,True,True,change_to_right,0.999001,2.58589601516724,6,3,NA,True,True,
change_to_left,False,False,False,False,False,False,True,True,True,cruise,0.999001,2.58862376213074,6,3,NA,True,True,
change_to_left,False,False,False,False,False,False,True,True,True,change_to_left,1,2.58689761161804,6,4,NA,True,True,
change_to_right,False,False,False,False,False,True,False,True,True,keep,0.5,2.56704616546631,7,1,2500,True,False,
change_to_right,False,False,False,False,False,True,False,True,True,swerve_left,0.5,2.57607173919678,7,1,2500,True,False,*
change_to_right,False,False,False,False,False,True,False,True,True,swerve_right,0.5,2.60278511047363,7,1,2500,True,False,
change_to_right,False,False,False,False,False,True,False,True,True,change_to_left,0.999001,2.59312677383423,7,2,NA,True,True,
change_to_right,False,False,False,False,False,True,False,True,True,cruise,0.999001,2.57275414466858,7,2,NA,True,True,
change_to_right,False,False,False,False,False,True,False,True,True,change_to_right,1,2.5683970451355,7,3,NA,True,True,
cruise,False,False,False,False,False,True,False,True,True,keep,0.5,2.57392477989197,8,1,2500,True,False,
cruise,False,False,False,False,False,True,False,True,True,swerve_left,0.5,2.58548140525818,8,1,2500,True,False,*
cruise,False,False,False,False,False,True,False,True,True,swerve_right,0.5,2.61251378059387,8,1,2500,True,False,
cruise,False,False,False,False,False,True,False,True,True,change_to_left,0.999001,2.58217811584473,8,2,NA,True,True,
cruise,False,False,False,False,False,True,False,True,True,change_to_right,0.999001,2.57635498046875,8,2,NA,True,True,
cruise,False,False,False,False,False,True,False,True,True,cruise,1,2.55980467796326,8,3,NA,True,True,
change_to_left,False,False,False,False,False,True,False,True,True,keep,0.5,2.60433912277222,9,1,2500,True,False,
change_to_left,False,False,False,False,False,True,False,True,True,swerve_left,0.5,2.57427716255188,9,1,2500,True,False,
change_to_left,False,False,False,False,False,True,False,True,True,swerve_right,0.5,2.59020400047302,9,1,2500,True,False,*
change_to_left,False,False,False,False,False,True,False,True,True,change_to_right,0.999001,2.59635472297669,9,2,NA,True,True,
change_to_left,False,False,False,False,False,True,False,True,True,cruise,0.999001,2.57430624961853,9,2,NA,True,True,
change_to_left,False,False,False,False,False,True,False,True,True,change_to_left,1,2.58697581291199,9,3,NA,True,True,
change_to_right,False,False,False,False,False,True,True,True,True,keep,0.000999,2.58371639251709,10,1,2579,True,False,*
change_to_right,False,False,False,False,False,True,True,True,True,swerve_left,0.000999,2.61732053756714,10,1,2579,True,False,
change_to_right,False,False,False,False,False,True,True,True,True,swerve_right,0.5,2.58837103843689,10,2,NA,True,False,
change_to_right,False,False,False,False,False,True,True,True,True,change_to_left,0.999001,2.59545469284058,10,3,NA,True,True,
change_to_right,False,False,False,False,False,True,True,True,True,cruise,0.999001,2.57817435264587,10,3,NA,True,True,
change_to_right,False,False,False,False,False,True,True,True,True,change_to_right,1,2.5871856212616,10,4,NA,True,True,
cruise,False,False,False,False,False,True,True,True,True,keep,0.000999,2.57791304588318,11,1,3937,True,False,
cruise,False,False,False,False,False,True,True,True,True,swerve_left,0.000999,2.57991504669189,11,1,3937,True,False,*
cruise,False,False,False,False,False,True,True,True,True,swerve_right,0.5,2.57560920715332,11,2,NA,True,False,
cruise,False,False,False,False,False,True,True,True,True,change_to_left,0.999001,2.60509729385376,11,3,NA,True,True,
cruise,False,False,False,False,False,True,True,True,True,change_to_right,0.999001,2.59971880912781,11,3,NA,True,True,
cruise,False,False,False,False,False,True,True,True,True,cruise,1,2.57866644859314,11,4,NA,True,True,
change_to_left,False,False,False,False,False,True,True,True,True,keep,0.000999,2.56408190727234,12,1,2500,True,False,*
change_to_left,False,False,False,False,False,True,True,True,True,swerve_left,0.000999,2.59588432312012,12,1,2500,True,False,
change_to_left,False,False,False,False,False,True,True,True,True,swerve_right,0.5,2.59190988540649,12,2,NA,True,False,
change_to_left,False,False,False,False,False,True,True,True,True,change_to_right,0.999001,2.57345747947693,12,3,NA,True,True,
change_to_left,False,False,False,False,False,True,True,True,True,cruise,0.999001,2.60895466804504,12,3,NA,True,True,
change_to_left,False,False,False,False,False,True,True,True,True,change_to_left,1,2.59145426750183,12,4,NA,True,True,
change_to_right,False,False,False,False,True,False,False,True,True,keep,0.5,2.57897472381592,13,1,2500,True,False,*
change_to_right,False,False,False,False,True,False,False,True,True,swerve_left,0.5,2.58495783805847,13,1,2500,True,False,
change_to_right,False,False,False,False,True,False,False,True,True,swerve_right,0.5,2.58916997909546,13,1,2500,True,False,
change_to_right,False,False,False,False,True,False,False,True,True,change_to_left,0.999001,2.60163426399231,13,2,NA,True,True,
change_to_right,False,False,False,False,True,False,False,True,True,cruise,0.999001,2.60381388664246,13,2,NA,True,True,
change_to_right,False,False,False,False,True,False,False,True,True,change_to_right,1,2.60702776908875,13,3,NA,True,True,
cruise,False,False,False,False,True,False,False,True,True,keep,0.5,2.5858039855957,14,1,2500,True,False,
cruise,False,False,False,False,True,False,False,True,True,swerve_left,0.5,2.58733081817627,14,1,2500,True,False,*
cruise,False,False,False,False,True,False,False,True,True,swerve_right,0.5,2.59309816360474,14,1,2500,True,False,
cruise,False,False,False,False,True,False,False,True,True,change_to_left,0.999001,2.60835409164429,14,2,NA,True,True,
cruise,False,False,False,False,True,False,False,True,True,change_to_right,0.999001,2.60301566123962,14,2,NA,True,True,
cruise,False,False,False,False,True,False,False,True,True,cruise,1,2.57256293296814,14,3,NA,True,True,
change_to_left,False,False,False,False,True,False,False,True,True,keep,0.5,2.59383654594421,15,1,2500,True,False,
change_to_left,False,False,False,False,True,False,False,True,True,swerve_left,0.5,2.59152793884277,15,1,2500,True,False,
change_to_left,False,False,False,False,True,False,False,True,True,swerve_right,0.5,2.5956118106842,15,1,2500,True,False,*
change_to_left,False,False,False,False,True,False,False,True,True,change_to_right,0.999001,2.5835907459259,15,2,NA,True,True,
change_to_left,False,False,False,False,True,False,False,True,True,cruise,0.999001,2.58052182197571,15,2,NA,True,True,
change_to_left,False,False,False,False,True,False,False,True,True,change_to_left,1,2.59452390670776,15,3,NA,True,True,
change_to_right,False,False,False,False,True,False,True,True,True,keep,0.000999,2.58893322944641,16,1,2500,True,False,
change_to_right,False,False,False,False,True,False,True,True,True,swerve_left,0.000999,2.58174347877502,16,1,2500,True,False,*
change_to_right,False,False,False,False,True,False,True,True,True,swerve_right,0.5,2.5871946811676,16,2,NA,True,False,
change_to_right,False,False,False,False,True,False,True,True,True,change_to_left,0.999001,2.59079146385193,16,3,NA,True,True,
change_to_right,False,False,False,False,True,False,True,True,True,cruise,0.999001,2.56248235702515,16,3,NA,True,True,
change_to_right,False,False,False,False,True,False,True,True,True,change_to_right,1,2.57793641090393,16,4,NA,True,True,
cruise,False,False,False,False,True,False,True,True,True,keep,0.000999,2.61236190795898,17,1,2519,True,False,
cruise,False,False,False,False,True,False,True,True,True,swerve_left,0.000999,2.6055223941803,17,1,2519,True,False,*
cruise,False,False,False,False,True,False,True,True,True,swerve_right,0.5,2.56961512565613,17,2,NA,True,False,
cruise,False,False,False,False,True,False,True,True,True,change_to_left,0.999001,2.58689522743225,17,3,NA,True,True,
cruise,False,False,False,False,True,False,True,True,True,change_to_right,0.999001,2.56431031227112,17,3,NA,True,True,
cruise,False,False,False,False,True,False,True,True,True,cruise,1,2.60850858688355,17,4,NA,True,True,
change_to_left,False,False,False,False,True,False,True,True,True,keep,0.000999,2.59162402153015,18,1,2556,True,False,
change_to_left,False,False,False,False,True,False,True,True,True,swerve_left,0.000999,2.58644962310791,18,1,2556,True,False,*
change_to_left,False,False,False,False,True,False,True,True,True,swerve_right,0.5,2.58894491195679,18,2,NA,True,False,
change_to_left,False,False,False,False,True,False,True,True,True,change_to_right,0.999001,2.61502146720886,18,3,NA,True,True,
change_to_left,False,False,False,False,True,False,True,True,True,cruise,0.999001,2.58323812484741,18,3,NA,True,True,
change_to_left,False,False,False,False,True,False,True,True,True,change_to_left,1,2.59771609306335,18,4,NA,True,True,
change_to_right,False,False,False,False,True,True,False,True,True,keep,0.5,2.56117749214172,19,1,2500,True,False,
change_to_right,False,False,False,False,True,True,False,True,True,swerve_left,0.5,2.5889880657196,19,1,2500,True,False,*
change_to_right,False,False,False,False,True,True,False,True,True,swerve_right,0.5,2.57200932502747,19,1,2500,True,False,
